property_id,city,neighborhood,property_type,bedrooms,bathrooms,living_area_sqft,lot_size_sqft,year_built,renovation_year,garage,basement,sale_year,sale_price
1,Châteauguay,Centre-Ville,Townhouse,3,2,1160,2304,2022,,Yes,No,2024,326000
2,Trois-Rivières,Cap-de-la-Madeleine,Duplex,4,4,1807,5869,2006,2024,No,Yes,2025,444000
3,Lévis,Charny,Townhouse,3,1,803,3387,1989,,Yes,Yes,2025,273000
4,Laval,Fabreville,Single Family,3,3,1083,11417,1972,2016,Yes,Yes,2023,465000
5,Longueuil,Greenfield Park,Condo,2,2,714,,1997,2010,Yes,No,2022,371000
6,Victoriaville,Centre-Ville,Single Family,4,3,2081,5682,1967,,Yes,Yes,2023,458000
7,Montréal,Outremont,Townhouse,3,3,1036,3343,1939,,No,Yes,2023,383000
8,Sherbrooke,Lennoxville,Single Family,4,2,1767,4750,2007,,Yes,Yes,2023,475000
9,Lévis,Saint-Nicolas,Townhouse,4,2,1178,2763,1956,2020,No,No,2024,337000
10,Saint-Jérôme,Bellefeuille,Bungalow,4,1,1063,5380,1984,,Yes,Yes,2025,386000
11,Longueuil,Le Vieux-Longueuil,Condo,1,2,768,,2014,,Yes,No,2025,523000
12,Longueuil,Vieux-Longueuil,Townhouse,3,1,1314,2791,2017,,Yes,No,2022,423000
13,Laval,Pont-Viau,Townhouse,3,2,1099,2811,2000,,No,Yes,2022,431000
14,Repentigny,Le Gardeur,Condo,1,1,991,,2002,,No,No,2024,534000
15,Mirabel,Sainte-Monique,Single Family,4,2,1450,6792,1975,,Yes,No,2024,479000
16,Candiac,Candiac Centre,Condo,2,2,806,,2010,,No,No,2025,464000
17,Baie-Comeau,Baie-Comeau Centre,Condo,3,1,512,,1984,,Yes,No,2025,153000
18,Lévis,Lévis Centre,Condo,2,2,862,,2021,,No,No,2023,299000
19,Châteauguay,Centre-Ville,Single Family,4,3,1642,6265,1964,,Yes,Yes,2021,383000
20,Val-d'Or,Val-d'Or Centre,Single Family,4,4,1259,7170,1962,2016,Yes,No,2023,284000
21,Laval,Duvernay,Duplex,5,3,1623,4816,1986,,Yes,Yes,2023,648000
22,Montréal,Hochelaga-Maisonneuve,Condo,2,1,678,,1959,,No,No,2021,279000
23,Châteauguay,Centre-Ville,Triplex,6,4,2371,5122,1987,,No,Yes,2024,559000
24,Montréal,Outremont,Bungalow,3,2,1149,4139,1989,,Yes,Yes,2024,586000
25,Montréal,Verdun,Duplex,6,4,1984,5285,1955,2023,No,Yes,2024,723000
26,Mirabel,Sainte-Monique,Duplex,5,2,1612,4032,2023,,Yes,No,2025,589000
27,Saint-Jérôme,Bellefeuille,Townhouse,2,2,1085,2989,1977,2014,Yes,Yes,2024,353000
28,Gatineau,Hull,Duplex,6,4,1558,7432,1969,,Yes,Yes,2025,602000
29,Saint-Jean-sur-Richelieu,Iberville,Condo,2,2,677,,1964,2020,Yes,No,2025,314000
30,Mirabel,Saint-Canut,Single Family,6,3,1537,4684,2023,,Yes,Yes,2024,494000
31,Blainville,Blainville Centre,Single Family,4,1,1135,8155,1983,,No,Yes,2024,354000
32,Laval,Fabreville,Single Family,4,2,982,5761,1985,,Yes,Yes,2023,538000
33,Montréal,Hochelaga-Maisonneuve,Townhouse,3,2,1069,3890,1924,,No,Yes,2023,383000
34,Laval,Fabreville,Condo,2,1,917,,1994,,Yes,No,2024,380000
35,Québec,Limoilou,Townhouse,3,2,961,3485,1999,,Yes,Yes,2024,285000
36,Laval,Duvernay,Duplex,4,3,1610,5639,1995,2017,Yes,Yes,2023,600000
37,Brossard,Secteur A,Condo,3,1,895,,1990,,Yes,No,2024,598000
38,Montréal,Outremont,Single Family,6,3,1946,12159,2001,,No,Yes,2024,708000
39,Sherbrooke,Centre-Ville,Single Family,5,3,1770,5529,2001,2020,Yes,Yes,2021,504000
40,Montréal,Lachine,Duplex,5,3,1960,4686,2021,,Yes,Yes,2025,927000
41,Laval,Duvernay,Condo,2,1,866,,2013,,Yes,No,2024,528000
42,Trois-Rivières,Centre-Ville,Single Family,4,2,1134,8763,1994,,No,Yes,2025,425000
43,Mirabel,Saint-Canut,Condo,1,2,544,,2005,,Yes,No,2025,353000
44,Drummondville,Saint-Charles,Single Family,5,3,1205,6992,2013,,No,Yes,2021,260000
45,Saint-Jean-sur-Richelieu,Iberville,Townhouse,2,2,1119,3690,1983,,Yes,Yes,2022,242000
46,Québec,Lebourgneuf,Triplex,8,4,2465,4735,2012,,No,Yes,2024,622000
